UTC;command
2025-05-29 15:22:10.935346+00:00;0
2025-05-29 15:23:13.099888+00:00;0
2025-05-29 15:24:15.338409+00:00;0
2025-05-29 15:25:17.441780+00:00;0
2025-05-29 15:26:19.665566+00:00;0
2025-05-29 15:27:21.811282+00:00;0
2025-05-29 15:28:23.906225+00:00;0
2025-05-29 15:29:26.093356+00:00;0
2025-05-29 15:30:28.227162+00:00;0
2025-05-29 15:31:30.526711+00:00;0
2025-05-29 15:32:32.619874+00:00;0
2025-05-29 15:33:39.883339+00:00;2
2025-05-29 15:33:39.884344+00:00;2
2025-05-29 15:34:42.112497+00:00;1
2025-05-29 15:35:44.209544+00:00;1
2025-05-29 15:36:46.398644+00:00;2
2025-05-29 15:37:48.492994+00:00;1
2025-05-29 15:38:50.665408+00:00;1
2025-05-29 15:39:52.988351+00:00;1
2025-05-29 15:40:55.148268+00:00;1
2025-05-29 15:42:02.424273+00:00;0
2025-05-29 15:42:02.425272+00:00;0
2025-05-29 15:43:04.571548+00:00;0
2025-05-29 15:44:06.697965+00:00;0
2025-05-29 15:45:09.270585+00:00;0
2025-05-29 15:46:11.462969+00:00;0
2025-05-29 15:47:13.633328+00:00;0
2025-05-29 15:48:15.794032+00:00;0
2025-05-29 15:49:23.169270+00:00;2
2025-05-29 15:49:23.169270+00:00;2
2025-05-29 16:05:54.651913+00:00;1
2025-05-29 16:06:56.935150+00:00;1
2025-05-29 16:07:59.156738+00:00;1
2025-05-29 16:09:01.322648+00:00;1
2025-05-29 16:10:03.438484+00:00;1
2025-05-29 16:11:05.667923+00:00;1
2025-05-29 16:12:07.931242+00:00;1
2025-05-29 16:13:10.158408+00:00;1
2025-05-29 16:14:12.313289+00:00;1
2025-05-29 16:15:14.508174+00:00;1
2025-05-29 16:16:16.712539+00:00;1
2025-05-29 16:17:18.831348+00:00;1
2025-05-29 16:18:20.950755+00:00;1
2025-05-29 16:19:23.170033+00:00;1
2025-05-29 16:20:30.508252+00:00;0
2025-05-29 16:20:30.508252+00:00;0
2025-05-29 16:21:32.746653+00:00;0
2025-05-29 16:22:34.864306+00:00;0
2025-05-29 16:23:37.020847+00:00;0
2025-05-29 16:24:39.295485+00:00;0
2025-05-29 16:25:41.403523+00:00;0
2025-05-29 16:26:43.708766+00:00;0
2025-05-29 16:27:45.878470+00:00;0
2025-05-29 16:28:48.037375+00:00;0
2025-05-29 16:29:50.370097+00:00;0
2025-05-29 16:30:52.558638+00:00;0
2025-05-29 16:31:54.782795+00:00;0
2025-05-29 16:32:56.918716+00:00;0
2025-05-29 16:33:59.123936+00:00;0
2025-05-29 16:35:01.303234+00:00;0
2025-05-29 16:36:03.415476+00:00;0
2025-05-29 16:37:05.737545+00:00;0
2025-05-29 16:38:08.007535+00:00;0
2025-05-29 16:39:10.234379+00:00;0
2025-05-29 16:40:12.369008+00:00;0
2025-05-29 16:41:14.700996+00:00;0
2025-05-29 16:42:16.935788+00:00;0
2025-05-29 16:43:19.167351+00:00;0
2025-05-29 16:44:21.379877+00:00;0
2025-05-29 16:45:23.502190+00:00;0
2025-05-29 16:46:25.614584+00:00;0
2025-05-29 16:47:27.846442+00:00;0
2025-05-29 16:48:29.971658+00:00;0
2025-05-29 16:49:32.254110+00:00;0
2025-05-29 16:50:34.380640+00:00;0
2025-05-29 16:51:36.496101+00:00;0
2025-05-29 16:52:43.932959+00:00;-2
2025-05-29 16:52:43.934115+00:00;-2
2025-05-29 16:53:46.128025+00:00;-1
2025-05-29 16:54:48.352722+00:00;-1
2025-05-29 16:55:50.468378+00:00;-1
2025-05-29 16:56:52.561361+00:00;-1
2025-05-29 16:57:54.816607+00:00;-1
2025-05-29 16:58:56.946287+00:00;-1
2025-05-29 16:59:59.209366+00:00;-1
2025-05-29 17:01:01.406407+00:00;-1
2025-05-29 17:02:03.752882+00:00;-2
2025-05-29 17:03:10.982147+00:00;0
2025-05-29 17:03:10.983197+00:00;0
2025-05-29 17:04:13.119196+00:00;0
2025-05-29 17:05:15.386827+00:00;-1
2025-05-29 17:06:17.480325+00:00;0
2025-05-29 17:07:24.808490+00:00;-2
